Number of bedrooms,Number of bathrooms,Area,number of floors,Built Year,Price
2,1,3800,1,1928,435000
3,2.25,1238,2,2009,435000
3,2,9000,1,1978,430000
3,1,7200,1,1950,430000
3,2.5,21780,2,2000,421000
4,2,9600,1,1967,415000
3,1.5,7400,1,1968,405000
3,1.5,7375,1,1968,402000
3,2.25,11266,2,1986,400000
2,2.5,3196,2,2008,386000
4,2.5,7079,2,1993,382500
4,2.5,37647,2,1991,380000
5,3.5,7350,2,1995,379900
3,1.75,22470,1,1976,375000
3,2,3600,3,2015,350000
2,2.5,1347,3,2005,350000
4,2.75,7412,1,1975,345000
3,2.5,2229,2,2007,345000
3,2.5,2509,2,2004,343000
2,1,9134,1,1948,342000
3,2.5,9406,1,1993,332000
3,2.5,4548,2,2003,330000
4,2.5,7091,2,1987,325000
3,1,5060,1.5,1927,320000
4,2,6000,1.5,1956,310000
3,2.25,7665,1,1973,305000
4,2.5,9760,2,1994,294999
3,2.5,3600,2,2011,286800
4,2.25,7207,1,1988,280000
3,2,7476,1,1989,272000
2,1.5,7276,1,1978,269500
3,1.75,12888,1,1958,260000
3,1.5,20700,1,1948,260000
3,2,5909,1,1986,259000
3,1.75,7532,1,1987,255000
3,1.5,6600,1,1945,253000
2,1.5,1360,2,1983,250000
4,2.5,8100,2,1998,250000
3,1.75,6134,1,1998,250000
3,1.75,8719,1,1982,247200
3,1.75,7524,1.5,1988,242000
3,1,8366,1,1943,239950
3,1.75,7280,1,1968,235000
3,2,7466,1,1983,229950
1,1,7129,1,1948,210000
3,1,7000,1,1967,206000
4,1.75,9344,1,1978,204950
3,1.5,7347,1,1980,198000
3,1.5,7000,1,1977,187500
4,1,13787,1,1966,170000
4,0.75,13300,1,1948,142500
4,3,27517,2,2001,4490000
4,4.25,12445,2,1989,3000000
6,5,230652,2,2001,1600000
3,2,5500,1.5,1937,1400000
4,2.75,10046,2,2005,1400000
4,3.25,12103,1,1997,1380000
4,3.5,9700,2,2005,1160000
4,2.5,43386,1,1991,975000
4,2.5,10576,2,1999,913000
6,3,13783,2,1952,900000
4,2.25,4080,2,1918,855000
5,3.5,28324,1,1972,850000
4,3.5,9792,2,1938,825000
4,2.5,8523,2,2008,820000
3,2.25,10204,2,1990,770000
4,2.5,14910,2,1995,770000
4,2.5,7938,2,1997,764000
3,2.5,43177,2,1989,739888
4,1.75,10800,1,1948,711000
3,3.25,1428,3,2013,690000
3,3,16200,2,1983,688000
5,1.75,4500,1.5,1926,650000
3,1.75,9370,1,1981,650000
3,1.5,8114,1,1951,650000
5,2.75,4461,1,1976,646000
4,2.5,9430,2,1996,630000
4,2.5,7683,2,1987,620000
5,2.25,12070,2,1978,615000
4,2.5,5000,2,2008,580000
5,3.25,10000,2,1980,574950
4,2.5,6738,2,1996,570000
5,3.5,58806,2,1969,568450
2,2,4500,1,2004,564000
5,3,15101,2,1996,562000
2,1,6400,1,1938,559000
3,1.75,6000,1,1958,555000
5,2.25,11411,1,1961,554000
3,2.5,9361,1.5,1936,545500
4,2.5,34222,2,1989,540000
3,1.75,8200,1,1963,540000
3,1.75,6360,1,2013,536751
3,2,4080,2,2003,535000
4,2.5,4595,2,2008,535000
4,2.5,7700,2,2003,515500
3,3.5,1419,2,2007,515000
5,3.25,16249,2,2002,507000
4,1.75,9375,1,1968,507000
2,2.5,923,3,2008,485000
3,3.25,1120,3,2008,482000
3,1.75,8432,1,1977,475000
5,2.5,7543,1,1966,469000
3,1.75,4800,1,1925,465000
3,3.25,6278,2,2006,461000
3,1.75,14292,1,1981,455000
3,1.75,4080,1,1928,450000
4,2.5,4780,2,2000,440000
3,2,7700,1,1972,424000
3,1.75,4800,1,1952,415000
4,2.5,5501,2,2010,415000
4,2,10500,1,1961,410000
4,1.5,68824,2,1968,407450
5,2.5,17300,1,1968,403500
3,1.75,6150,1.5,1928,400000
3,3.25,1388,3,2008,384400
2,1,9839,1,1910,375000
3,2.5,6871,2,1997,375000
3,2.5,6715,2,1991,365000
2,1,4200,1,1954,343566
3,2.5,26977,2,2005,330000
3,2.75,7000,1,1977,325000
4,2.5,6753,2,1994,322500
3,2.5,6368,2,1993,315000
4,2.5,12672,1,1960,310000
3,2.25,1294,2,2010,309000
3,2.5,3575,2,2000,300000
3,1,7700,1,1971,300000
5,2.5,9360,1,1968,299000
3,2,8682,1,1966,295000
4,2.5,9000,1,1979,287500
3,1,10723,1,1960,284950
5,1.75,7171,1,1970,279950
3,2.25,9000,1,1969,274500
3,2.25,2800,2,2012,267000
4,1.5,7100,1,1963,265000
4,1.75,9011,1,1983,264950
4,1.75,8118,1,1980,264000
4,2,9600,1.5,1947,253779
2,1,11234,1,1942,250275
3,2,8092,1,1986,242000
2,1,10920,1,1942,240000
3,1.75,6900,1,1978,239950
2,1,9435,1,1958,230000
3,1,12519,1,1958,220000
2,1.5,8867,2,1921,206000
3,1,8580,1.5,1900,192500
1,1,4800,1,1914,190000
3,2.25,6350,2,1967,180000
2,1,5000,1,1915,175000
6,1,5080,1.5,1931,175000
5,4.75,10450,2,2002,2200000
5,3,13000,2,1972,1820000
4,3.25,5131,2,1927,1530000
3,3.5,3819,2,2002,1440000
4,2.5,3600,2.5,1902,1330000
4,4.5,13912,2,2005,1310000
4,3.5,13224,2,1990,1240000
5,3,19126,2,1977,1190000
5,3.5,9938,2,2001,1070000
3,2.5,10500,2,1989,1030000
2,2.5,7089,2,2004,945000
5,2,9385,1.5,1925,930000
4,2.5,209088,2,1994,925000
4,2.25,6000,1,1959,899000
2,1.75,5136,1.5,1927,850000
3,3,19023,2,1985,805000
4,2.5,7910,2,2001,799000
4,2.75,15992,2,1996,775000
3,2.5,40705,2,1994,770000
4,2.25,5600,1,1947,756000
3,3.5,10078,2,2012,750000
4,2.5,6884,2,2012,734990
3,2.5,6775,1,2008,728050
4,2.5,34290,2,1987,720000
3,2.75,6699,2,2004,712000
3,2,5980,1.5,1945,703000
6,2,3000,1,1911,680000
4,2.5,8058,2,1998,661000
4,3,18362,1,1956,659500
4,2.5,4079,2,2008,646000
4,2.5,9247,1,1972,619850
4,3.25,3360,1.5,1931,618250
3,3.25,1612,3,2006,607500
3,2,237402,1,2007,600000
4,2.25,8400,2,1970,600000
3,1.5,7200,2,1907,590300
4,2.5,11044,2,2001,585000
4,2.25,9593,1,1969,580000
3,2.5,9000,1,1948,576000
4,2.25,10358,1,1962,558000
4,1.75,3060,2,1906,549000
3,2.25,949,3,2008,543000
5,3.75,7415,2,2014,540500
3,1.75,219527,1,1991,520000
3,2.75,10744,1,1954,519000
4,2.5,8031,2,1998,510000
3,2.5,7201,2,2003,507000
2,1,8210,1,1952,506000
3,2.5,4611,2,1996,505000
3,2.5,48716,1,1994,500000
3,1.75,5000,1,1910,499000
3,2.25,7326,2,1983,489950
3,2.5,1110,2,2003,475000
3,2,38884,1,1997,470000
3,1,3625,2,1900,464000
3,1.75,11200,1,1955,450000
4,2.5,7693,2,2003,450000
3,1.75,8740,1,1968,440000
2,1.75,4225,1,2005,437000
2,1,6600,1,1949,436000
3,1.75,8065,1,1948,435000
4,2.5,8625,2,1987,429900
6,2.75,9324,1,1962,410000
2,1,4377,1,1947,405000
4,1,5753,1.5,1947,401000
4,2.25,8255,1.5,1930,399888
4,1,10350,1,1968,395000
3,2.25,10240,1,1979,390000
3,1.75,11200,1,1978,385000
4,2.25,20181,1,1963,380000
3,2.5,3000,1.5,1909,378750
3,2.5,2700,2,2011,362500
4,2.5,4650,2,2004,360000
3,2,6000,1,1945,352450
2,1,9205,1,1921,350000
3,2,7200,1,1966,346150
3,2.5,6112,2,2004,340000
4,2,103672,1,1969,335000
3,2.5,7209,2,2011,330000
4,2.5,5000,2,2003,320000
2,1,8341,1,1939,319950
3,1.75,3000,1.5,1903,311000
4,1.5,9600,1,1980,310000
3,2,11374,1.5,1933,287000
3,1,4731,1.5,1901,285000
3,2,42399,1,1990,280000
3,1.75,15681,1,1971,275000
4,1.75,8750,1.5,1968,269900
3,1.75,7300,1,1966,265000
3,1,8498,1,1959,249000
4,2,13510,1,1950,248000
4,2,14690,1,1960,240000
3,1.75,11461,2,1976,232603
3,1,8450,1,1961,232500
3,2.25,7350,1,1984,221000
3,2,7210,1,1983,210000
3,1.5,8340,1,1960,200000
3,1,5412,2,1905,197500
3,2,4320,1,1912,186000
3,1.75,8079,1,1983,177000
2,1,39964,1,1945,120000
6,4.5,10800,2,1999,2400000
3,2.25,17833,2,1973,2110000
7,3.5,15235,2,1965,1950000
5,3.25,4800,3,2008,1460000
4,2.25,6280,1.5,1905,1330000
4,3.5,36200,2,1989,1320000
5,4,7800,2.5,1937,1300000
7,5.5,13782,2,2004,1240000
5,3.25,6551,1.5,1939,1230000
6,4.25,244716,2,2002,1140000
3,3,43560,2,1989,1080000
4,4.5,13551,2,1998,995000
3,1.5,14133,1,1954,979000
3,2.75,10125,2,1960,970500
4,2.5,11548,2,1988,950000
3,3.25,18892,1,1962,950000
4,2,10437,1,1959,925000
4,2.75,8014,2,2012,925000
3,3.25,4000,2,2003,915000
4,3.5,14486,2,1997,905000
3,2.25,9552,1,1975,885000
4,3,30884,2,1988,869000
3,2.25,8170,2,1995,850000
5,2.25,10192,2,1978,830000
3,3.25,8338,2,2001,812000
4,2.75,7035,2,2004,800000
4,1.75,10920,1,1974,790000
3,2.25,3000,2,1905,780000
4,2.5,4400,2,2014,775950
2,2.5,7781,2,2006,754800
4,3.25,27591,2,2000,725000
6,1.75,4080,2,1917,725000
3,3.5,8837,2,2001,725000
4,2.5,6628,2,2003,715000
5,2.75,11700,1,1964,681500
4,2.25,5453,2,1926,665900
4,3.25,9273,2,1988,660000
3,3.25,1565,2,2005,654000
4,2.5,6587,2,2003,650000
2,1.75,4400,1,1930,640000
4,2.5,10306,2,1986,632500
3,2.5,4800,2,2014,625000
3,2.5,7777,2,1989,623000
4,2.5,7553,2,1996,605000
2,1,3600,1,1919,600000
3,2.75,22649,2,1993,595000
3,3.5,1710,2,1999,587206
4,2.75,4900,2,2013,565000
5,2.5,4080,1.5,1916,547000
3,2.25,1879,3,2001,525000
4,1,6000,1.5,1917,511500
4,2,11479,1,1940,489000
4,2.25,9665,1,1976,488800
4,3,6250,1,1990,482500
4,1,5500,1,1941,480000
3,1.75,8085,1,1976,477000
3,2.5,5013,2,2003,458000
3,1.5,28516,1,1975,456000
3,2.25,4653,2,1985,455000
4,2.25,21000,1,1954,455000
3,2,3480,1,1947,450000
4,2.5,6853,2,2006,448000
4,2.5,21781,2,1994,443500
3,2.75,7280,1,1979,441000
5,3,12429,1,1977,436500
3,2.5,5612,2,1999,425000
3,2.25,10209,1,1967,425000
5,2.75,10319,1,1959,420000
5,3,3149,2,2013,420000
2,1,3960,1,1925,412000
3,1,10000,1.5,2002,405000
3,1,10005,1.5,1950,400000
4,1.75,189486,2,1972,400000
4,2.25,7927,1,1973,400000
4,2.5,11717,2,1997,397000
3,1,4000,1,1925,395000
3,1,3750,1.5,1910,390000
3,1.5,4288,1,1949,380000
4,2.5,12236,1,1978,378000
4,2.5,4770,2,2005,371000
3,2.25,11612,1,1981,359950
5,2.25,7420,1,1973,359900
4,2.5,8265,2,1996,355000
2,1,10800,1,1943,355000
3,1.75,11249,1,1985,340000
3,2.5,4600,2,2014,339990
4,3,8504,2,1992,337000
3,2,7884,1,1942,332000
3,2.25,11227,2,1995,330000
3,2.5,8085,2,1983,329950
2,1,4239,1,1948,325000
3,1.5,60960,1,1967,291000
4,2,6302,2,1997,282000
3,2,8089,1,1987,280000
4,2,7700,1,1979,279000
4,1,7500,1,1959,264950
1,1,16306,1,1931,250000
1,0.75,15000,1,1963,245000
3,1,8160,1,1960,237000
2,2,2841,2,2004,218000
4,2.5,11600,1,1931,215000
2,2,5756,2,1910,210000
3,1,7314,1,1960,205000
3,1,7156,1,1953,203000
3,2.25,7420,1.5,1913,200000
2,1,6600,1,1949,200000
2,1,5130,1,1948,175000
3,2.5,20000,1,1952,1100000
3,2.5,6830,2,2000,930000
4,2,6300,1.5,1928,849000
3,1.75,5544,1.5,1934,750000
4,2.25,8994,2,1986,639500
4,1.75,2788,1,1943,442900
4,1.5,9176,1,1956,418000
2,1,1820,2,1948,375000
4,3.5,14406,2,1987,874150
4,2.5,10613,2,1989,810000
3,1.75,5000,1.5,1907,802000
4,2.5,7300,1,1963,732600
4,2.5,10083,2,1966,687000
2,1.75,6000,1,1914,565000
4,2.5,6023,2,1990,545000
4,2.5,8400,1,1963,500000
2,2.25,6770,1.5,1926,480000
3,2.5,40003,1,1977,439500
4,2.5,6260,2,2004,374000
4,2.5,13550,2,1999,330000
3,4.5,17826,2,2005,3400000
4,3.5,20377,2,1997,2080000
3,2.75,18731,2,1974,1700000
4,2.5,74487,2,1948,1580000
3,2.5,11394,1,1956,1290000
4,3.75,3944,1.5,1913,1220000
4,2.5,13194,2,1965,1190000
4,3.25,7661,2,2006,905000
5,3.5,10155,2,1996,905000
3,1,6978,2,1949,899000
4,2.5,29163,2,1998,835000
5,2.5,35124,2.5,1984,831500
4,2.5,206474,1,1997,806000
3,2.25,11824,1,1972,800000
4,3,4895,1,1954,800000
4,3.5,59863,2,1987,780000
4,2.5,6158,2,1999,775000
3,2,5000,1.5,1941,750000
4,2.25,5102,1,1954,735000
3,1.75,8613,1,1962,725000
4,2.5,30410,2,1988,725000
4,2.5,30500,1,1960,715000
2,1,4560,1,1907,690000
2,1.5,1676,1,1943,685000
4,2.5,11120,2,1982,675000
3,2.5,5300,2,2008,670000
5,3,7081,1,2013,664950
3,3.25,2850,3,1987,660000
4,2.5,7351,2,1990,650000
3,2.5,1375,2,2014,649950
2,1.75,280962,2,2005,649000
4,3.5,6000,2,2014,633634
5,2,4180,1.5,1926,615000
6,2.75,8400,1,1962,603500
3,2.5,10153,2,1987,600000
4,2.5,7875,1.5,1966,590000
3,2.5,1269,3,2009,579000
3,2.5,5750,1,1976,577000
4,2,3884,1,1924,569000
3,2.25,907,2,2006,562500
3,2.5,12476,2,1989,560000
4,2.5,7989,2,1990,560000
3,2.5,3255,2,1988,550000
3,1.75,8086,1,1964,550000
2,1,3500,1,1924,525000
5,3.25,5027,2,2013,515000
6,2.5,8122,1,1977,502000
3,1,5100,2,1911,500000
3,2.25,3817,2,2005,497000
3,2,12196,2,1918,495000
4,2.5,7345,1,1973,494000
4,2.5,1860,2,2014,491234
3,2.25,2500,2,1984,490000
3,2.25,11319,2,1978,479000
3,1.75,6000,1,1905,471001
3,2.5,8221,2,1992,470000
5,2.5,9760,1,1978,460000
4,2.5,6107,2,2003,459950
3,2,1599,2,2012,458500
4,1.75,50965,1,1956,453000
4,1.75,4333,1,1942,450000
3,2.25,7280,1,1972,449500
4,2.5,5040,1,1930,449000
2,1,21675,1,1958,446000
3,1.75,10280,1,1977,442500
4,2.5,7253,2,1990,442000
3,1.75,7207,1,1983,440000
2,1.5,4625,1,1949,430000
3,1.75,12731,1,1981,430000
2,1,6413,1,1950,425000
3,2.25,39189,1,1992,425000
3,2,5029,1,1937,420000
4,2.5,8518,1,1955,415000
2,1,2599,1,1901,405000
3,2.25,1245,3,2004,405000
3,1,8004,1,1960,403500
2,0.75,1350,2,2009,402101
4,1.75,20283,1.5,1965,400000
3,1.75,5223,1,1940,399950
3,1.75,7149,1,1955,396500
3,1.75,12821,1,1959,389800
3,3.25,1677,3,2007,385000
4,2.75,37011,2,1984,385000
4,2.5,7471,2,1990,375000
4,2,25600,1,1962,365000
2,1.5,1768,2,2009,362500
3,2.5,15264,2,1997,362300
4,1.5,6417,1,1953,360000
7,3,9569,1,1963,350000
3,1.75,10150,1.5,1957,350000
3,2,38781,1,1949,349900
3,1,8400,1,1955,347000
3,1.75,8100,1,1950,346000
3,2.5,4118,2,1989,345950
3,3.75,8625,1,1959,345100
3,1,4200,2,1904,345000
3,1.5,1192,2,2008,345000
3,1.75,12750,1,1993,337000
1,1,5100,1,1907,335000
4,1.5,9360,1.5,1970,334000
3,2.5,4995,2,2011,329900
3,1,9834,1,1969,326000
4,1.75,7208,1,1975,324000
4,2.25,19000,2,1975,322200
3,2.5,7417,2,1998,320000
4,1.5,43560,1,1974,320000
5,3,8214,2,2013,312891
3,2.5,4775,2,2006,310000
4,2.5,4469,2,2008,300000
4,2.5,5550,2,2004,300000
2,1,7200,1,1951,299995
3,1,9238,1.5,1946,291500
2,2,17600,2,1930,290900
3,1,8145,1,1932,290000
3,2.75,750,2,2008,286000
3,2.5,6263,2,2003,285000
2,1,3000,1,1925,280000
2,1,6552,1,1949,275000
3,1,6000,1,1952,275000
4,2.5,8400,2,1977,269950
3,1.75,7412,1,1976,269500
3,1,9450,1.5,1928,265000
3,1.75,7482,1,1966,264000
3,1.75,18200,1,1962,261350
4,2.5,37045,2,1989,260000
3,2,6738,1,1990,249900
2,1.75,8645,1,1963,249500
3,1,19204,1,1968,249000
3,1.75,9600,1,1984,239950
3,1,11100,1,1968,235000
6,3,7956,2,1980,235000
4,1.75,8891,1.5,1962,235000
2,1,11100,1,1940,234000
3,2.25,2958,2,1985,233500
3,1,389126,1.5,1919,230000
3,1.75,8820,1,1967,225000
3,2,8505,1,1931,215000
2,1,6780,1,1945,205425
3,1.5,9600,1,1968,200000
5,2.5,8750,1,1959,199950
3,1,13100,1,1943,165000
3,1.5,2356,2,2012,160797
4,5,18641,1,2002,3080000
5,2.75,13800,2,1959,2700000
5,4.75,13180,2,1940,2470000
4,2.5,15600,1,1973,1250000
4,3.75,53574,1,1994,1220000
3,2.5,5925,2,1913,1160000
2,2,9052,1,1900,1010000
4,2.25,10200,2,1973,998000
3,2.25,9950,1.5,1930,970000
4,1.75,3825,1.5,1926,941000
4,3,35261,1.5,1985,925000
4,2.5,3841,3,2005,880000
4,2.5,22588,2,1996,875000
4,2.25,13900,1,2010,859000
4,3.5,37122,2,1996,850000
4,3,4000,1,1958,850000
3,2,4750,1.5,1930,845000
3,2.5,203425,1,2000,839000
3,3.5,6150,2,1908,819000
4,3.5,31450,2,2010,790000
4,2.75,8760,1,1978,762500
4,3.25,9571,2,2004,751000
4,2.5,4850,2,2013,745641
4,2.5,18295,2,1986,725000
3,1.75,9840,1,1978,689000
4,1.75,5000,1.5,1929,687500
3,1.5,5756,1.5,1946,683500
3,3.5,5611,1,2004,675000
6,2.75,8346,1,1961,665000
2,2.25,6000,2,1902,660000
4,2.5,9594,2,1997,640000
4,2.5,2772,2,2012,639888
2,1,2640,1,1927,631500
3,2.5,64073,1,1976,625000
4,2.5,55387,2,1994,620000
2,1,5000,1,1949,615000
3,1.75,4080,1,1924,615000
4,1.75,7700,1,1968,600000
4,3.25,14930,2,1995,600000
5,2.75,22572,1,1968,599000
4,2.5,8195,2,2006,589950
3,2.5,100545,2,1998,585000
4,2.5,20793,2,1991,575000
3,2.25,5000,1.5,1926,575000
2,1,13392,1,1947,549000
3,2.5,4132,2,1999,535000
2,1.5,3680,1,1941,530000
3,1.75,35722,1,1984,520000
4,2.75,14021,2,1999,518000
3,2.25,1309,3,2006,510000
3,2,14350,1,1955,502000
3,2.5,5412,1,1920,485000
2,1.75,3000,1.5,1906,483000
3,1.75,10466,1,1959,464500
3,2.25,2003,2,1996,457500
4,2.5,4502,2,2005,455000
2,1.5,1259,2,2015,455000
4,1.75,7400,1,1959,445000
3,1.75,9900,1,1957,440000
3,1.75,6380,1,1948,438000
4,2.5,8505,1,1980,437000
3,2.5,4500,2,1990,425000
4,1.5,6180,1.5,1946,425000
3,2.5,3821,2,2005,420000
3,1.75,8000,1,1977,415000
3,2.5,6031,2,2011,415000
3,2.5,12750,2,1995,405000
3,2.75,7300,1,1957,405000
3,1,8053,1,1951,405000
3,2,11413,1,1984,400000
3,2.5,23100,1,1967,400000
3,2.5,18980,1,1976,396500
4,1.75,5120,1,1943,395000
3,2.5,1936,2,2007,395000
3,2.25,15559,2,1963,380000
3,2.5,30886,2,1992,379000
3,1,11783,1,1978,367500
3,1.75,11440,1,1977,366000
4,1.75,8450,1,1960,362500
3,1.75,7200,1,1957,360000
3,1.5,100188,1,1969,358000
2,2.25,747,2,2007,355000
2,1,7680,1,1922,350000
4,3,5606,2,2004,350000
4,2.5,5289,2,1989,349950
3,1.5,10726,1,1966,348500
4,1.75,6204,1,1950,343500
2,1.75,7507,1,1982,342500
4,2,5080,1.5,1948,339000
3,1,4128,1,1942,339000
3,1,7284,1,1963,336500
2,1,5220,1,1956,329950
2,1.5,1119,2,2005,329445
3,1,6906,1,1948,325000
3,1.5,8710,1,1955,324950
4,2.5,7992,1,1978,319000
5,2.5,11375,1,1962,317000
4,1.75,27072,1,1958,314900
4,2.25,9371,2,1968,305000
4,2,8454,1,1953,304000
3,1,7007,1,1954,300000
2,1,5120,1,1941,300000
2,1,5400,1,1950,295000
3,1.75,7560,1,1968,295000
3,2.5,9607,2,1988,289000
3,1,9253,1,1968,275000
3,1,7435,1,1969,258000
2,2,9265,1,1940,257500
3,2.25,7881,1,1977,252000
4,2.75,5827,2,1997,236000
4,1.75,6000,1,1944,230000
3,1.75,13102,1,1968,225000
3,1,18205,1,1945,218000
3,1.5,7600,1,1968,218000
2,1,5500,1,1956,210000
3,1,8512,1,1991,199000
3,1,7577,1,1983,194000
3,1.5,9600,1,1962,160000
2,1,5280,1,1942,139000
4,3.25,8570,2,2004,2300000
5,3.5,22885,2,1978,1700000
3,1.5,4775,2,1913,1360000
3,1.5,2885,1.5,1900,1330000
4,3.5,17398,2,2003,1280000
4,3.5,37034,2,1989,1230000
4,1.75,13470,2,2006,1200000
3,2,18815,2,1979,1150000
4,2.25,127631,2,1924,1140000
5,3.25,7947,2,2001,1070000
4,4.5,284011,2,1985,1010000
3,4.5,47044,2,1968,995000
5,3,5477,2,2009,975000
5,3.25,5000,2,2005,957000
5,2.25,15512,2,1981,913888
5,3.5,10200,1,1970,905000
4,1,4000,2,1905,890000
4,2.75,4000,1.5,1912,870000
5,3.25,9648,2,1968,860000
4,2.5,8086,2,2005,804100
2,1,5719,1,1955,800000
4,2.5,12415,2,1997,770000
4,3.5,15253,2,2007,762000
4,2.5,6000,2,1942,760000
3,1.5,5000,1.5,1915,750000
5,2.5,16570,1,1967,744500
4,2.5,10392,2,1995,740000
5,2.5,5377,2,2006,739900
3,2.5,7510,2,1996,725000
4,2.5,5170,2,2000,725000
4,2.5,5686,2,2004,700000
5,2,4211,1.5,1908,690500
4,1.5,6200,1,1954,680000
3,2.75,4000,2,2008,660000
4,2.5,3375,1.5,1926,657000
4,2.75,16532,1,1940,650000
3,2.75,16960,1,1953,645000
33,1.75,6000,1,1947,640000
5,2.5,21208,1,1955,625000
4,2.5,4736,2,2001,608000
3,2.25,9162,1,1978,599990
4,4,8250,2,2015,597326
3,1.75,9000,1,1958,595888
3,2.25,1406,2,2014,594000
4,2.75,4613,2,2005,594000
5,3,19439,1,1973,589950
4,2.75,6825,1,1973,585000
3,2.5,8144,2,1989,583000
4,2.5,5415,2,1996,578000
3,2.25,3333,1.5,1924,575000
3,2.5,6832,2,2002,574000
2,1.75,4008,1,2005,565000
3,2.5,1312,3.5,2007,563500
2,0.75,3700,1,1914,562100
3,1.75,11165,1,1959,557500
4,2.5,3974,2,1994,544000
4,2.75,5133,1,1958,531500
5,2.25,7910,1,1962,530000
4,2.5,2617,1.5,1910,519000
3,2.5,8060,2,1987,505000
3,1.75,10695,1,1975,505000
3,1.5,4750,1,1940,500000
3,2.5,7307,2,1998,482000
5,3.5,6895,2,2001,459000
3,1,22144,1,1970,454000
3,1.5,11740,1,1954,450000
4,2.75,5650,1,1952,450000
2,1,4390,1,1931,450000
3,1.75,17100,1,1953,440000
2,1,3036,1.5,1943,435000
3,2.5,2267,3,2009,425000
4,2.25,9984,1,1973,418800
3,1.5,7700,1,1968,410000
2,2.5,1845,2,1997,409900
4,2.25,3672,2,1926,402000
3,2.5,7508,1,1962,400000
2,2.25,14258,2,2007,395000
4,2.5,8548,2,1993,390000
4,2.25,9583,2,1965,386000
3,1.75,13430,1,1977,383000
2,1,2910,1,1924,381500
3,2.25,11400,2,1984,374500
3,2,9600,1,1983,365500
3,2.5,2790,2,2011,364000
4,2,48693,1.5,1949,356000
4,1,8890,1,1925,352000
3,1,8184,1,1947,349000
2,1.75,6300,1,1941,346500
3,1,11802,1,1932,346500
6,2.25,28535,1,1951,330000
3,2.5,3600,2,2014,328423
4,2.5,10051,2,1997,320000
4,2,5336,1.5,1918,315000
2,1,5400,1,1950,310000
3,2.5,3730,2,2012,309620
3,1,18144,1.5,1942,308000
6,2,8240,1,1964,305000
3,2.5,7942,2,1990,299950
3,1.75,7650,1,1978,299950
3,1,8593,1,1979,299900
3,2.5,887,3,2007,288000
2,1,3475,1,1930,286000
3,2,6377,1,1995,285000
3,1,8400,1,1954,283000
3,1.75,8250,1,1966,280000
7,2.5,5458,2,1994,280000
3,1,7566,1,1958,276900
4,2.25,11250,1,1959,276000
2,1,4840,1,1927,275000
3,2.5,8364,1,1990,270000
2,1,8398,1,1962,270000
3,1.5,8450,1,1951,265950
2,1,5650,1,1944,260000
3,1.5,8184,1,1954,260000
5,2.5,7760,2,2007,260000
3,2.5,3676,2,1992,255950
4,2.25,6136,2,1990,249000
3,2.5,7686,2,1989,246500
3,2.25,8400,1,1968,245700
3,2,5760,1,1985,245000
3,2.25,2820,2,2012,240000
4,2,9415,2,1984,235000
3,1,6180,1.5,1955,233000
3,1,8498,1,1958,205000
3,1,8750,1,1965,205000
3,1,4800,1.5,1938,200000
3,2,6833,1,1995,200000
3,1,9000,1,1966,196500
1,0.75,29258,1,1941,190000
3,1,3264,1,1969,152000
2,1,8100,1,1942,150000
5,3,5000,2.5,1902,1990000
4,2.25,16684,2,1979,1410000
4,3,20001,1,1972,1390000
3,3,5500,2,1950,1390000
4,3.5,5040,2,2003,1340000
3,3,8500,2.5,1910,1250000
3,2.5,4000,2,1918,1150000
4,3.5,5267,2,2008,1080000
4,3.5,7832,2,2007,1050000
4,3.5,19850,1,1977,1030000
4,3.75,6738,2,2013,971971
3,1.75,2691,2,1915,937000
4,3.5,50479,2,1987,910000
4,3.5,5000,2,2008,900000
4,2.75,31747,2,1985,879000
4,2.5,12100,1,1977,827000
4,2.5,7140,2,2006,826000
3,2,11989,1,1968,815000
4,2.75,4743,1,1949,815000
3,2.75,5875,1.5,1929,805000
3,1.75,75794,1,1958,800000
4,2.5,16809,2,1990,800000
4,3.25,3898,2,2014,782900
3,2.75,14800,1,1976,775000
4,2.5,10800,1,1955,772650
3,2.5,13964,1,1959,760000
4,2.75,4000,1.5,1912,755000
4,2.75,5080,1.5,1903,750000
6,3,5000,1.5,1921,725000
3,3.25,136915,2.5,1990,710000
3,2.75,12063,2,1993,695000
5,3.5,7598,2,1993,690000
4,2.5,10274,2,1989,675750
3,1.5,4400,1.5,1906,670000
4,2.5,11877,2,1996,669950
2,1.75,10766,1,1952,669000
3,1.75,478288,1.5,1933,667000
3,2.5,37843,1.5,1974,663000
3,2,3876,1,1928,663000
3,1,9622,1,1955,660000
3,2,3729,1,1922,638000
3,1.75,5000,2,1945,626000
6,3.5,6875,2,2004,620000
3,2,41343,1,1988,620000
3,2.5,8016,2,2004,600000
4,1.75,6975,1,1975,580000
5,3,49709,1,1960,575000
4,1.75,265716,1,1979,568000
4,1.75,174240,1,1964,563500
4,2.5,16360,1,1959,560000
5,3,6930,2,2004,555000
4,2.5,27540,2,1997,550000
3,3,209088,2,1942,537000
3,2,26571,2.5,1987,530000
4,2.75,6625,2,2011,525000
3,3.5,1102,3,2010,518500
3,1.75,11787,1,1983,495000
3,1.75,11085,1,1983,475580
2,1.75,6417,1,1924,471000
3,2.5,8490,1,1969,460000
4,2.5,19017,1,1961,460000
5,2.75,8925,1.5,1967,451000
3,1.5,23660,1,1952,450000
2,1.75,3340,1,1912,450000
2,1.5,1221,2,2008,446000
